district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
ORISSA - Anugul,0.68,943,0.21,0.56
ORISSA - Nayagarh,0.71,915,0.24,0.52
ORISSA - Khordha,0.78,929,0.2,0.53
ORISSA - Puri,0.76,963,0.24,0.52
ORISSA - Ganjam,0.63,983,0.22,0.56
ORISSA - Gajapati,0.45,1043,0.13,0.6
ORISSA - Kandhamal,0.55,1037,0.2,0.6
ORISSA - Baudh,0.62,991,0.22,0.57
ORISSA - Subarnapur,0.65,960,0.23,0.56
ORISSA - Balangir,0.56,987,0.18,0.55
ORISSA - Nuapada,0.49,1021,0.19,0.56
ORISSA - Kalahandi,0.51,1003,0.14,0.56
ORISSA - Rayagada,0.42,1051,0.1,0.6
ORISSA - Nabarangapur,0.39,1019,0.13,0.61
ORISSA - Koraput,0.41,1032,0.11,0.59
ORISSA - Malkangiri,0.4,1020,0.11,0.62
CHHATTISGARH - Koriya,0.6,968,0.17,0.61
CHHATTISGARH - Surguja,0.5,978,0.14,0.61
CHHATTISGARH - Jashpur,0.58,1005,0.16,0.57
CHHATTISGARH - Raigarh,0.64,991,0.17,0.56
CHHATTISGARH - Korba,0.62,969,0.16,0.6
CHHATTISGARH - Janjgir - Champa,0.63,986,0.15,0.6
CHHATTISGARH - Bilaspur,0.6,971,0.15,0.61
CHHATTISGARH - Kabeerdham,0.5,996,0.15,0.63
CHHATTISGARH - Rajnandgaon,0.66,1015,0.19,0.58
CHHATTISGARH - Durg,0.69,988,0.17,0.57
CHHATTISGARH - Raipur,0.65,984,0.16,0.6
CHHATTISGARH - Mahasamund,0.62,1017,0.19,0.56
CHHATTISGARH - Dhamtari,0.68,1010,0.19,0.58
CHHATTISGARH - Uttar Bastar Kanker,0.61,1006,0.17,0.58
CHHATTISGARH - Bastar,0.46,1023,0.13,0.61
CHHATTISGARH - Narayanpur,0.4,994,0.11,0.65
CHHATTISGARH - Dakshin Bastar Dantewada,0.36,1020,0.07,0.63
CHHATTISGARH - Bijapur,0.34,984,0.09,0.66
MADHYA PRADESH - Sheopur,0.48,901,0.1,0.65
MADHYA PRADESH - Morena,0.6,840,0.15,0.64
MADHYA PRADESH - Bhind,0.64,837,0.15,0.61
MADHYA PRADESH - Gwalior,0.67,864,0.12,0.6
MADHYA PRADESH - Datia,0.62,873,0.17,0.6
MADHYA PRADESH - Shivpuri,0.52,877,0.12,0.64
MADHYA PRADESH - Tikamgarh,0.52,901,0.13,0.62
MADHYA PRADESH - Chhatarpur,0.54,883,0.13,0.63
MADHYA PRADESH - Panna,0.54,905,0.13,0.63
MADHYA PRADESH - Sagar,0.65,893,0.18,0.62
MADHYA PRADESH - Damoh,0.59,910,0.17,0.61
MADHYA PRADESH - Satna,0.62,926,0.15,0.61
MADHYA PRADESH - Rewa,0.61,931,0.14,0.62
MADHYA PRADESH - Umaria,0.55,950,0.15,0.63
MADHYA PRADESH - Neemuch,0.62,954,0.15,0.58
MADHYA PRADESH - Mandsaur,0.62,963,0.16,0.58
MADHYA PRADESH - Ratlam,0.57,971,0.13,0.6
MADHYA PRADESH - Ujjain,0.62,955,0.14,0.58
MADHYA PRADESH - Shajapur,0.59,938,0.16,0.6
MADHYA PRADESH - Dewas,0.59,942,0.14,0.6
MADHYA PRADESH - Dhar,0.49,964,0.11,0.63
MADHYA PRADESH - Indore,0.7,928,0.14,0.57
MADHYA PRADESH - Khargone (West Nimar),0.53,965,0.14,0.62
MADHYA PRADESH - Barwani,0.4,982,0.1,0.67
MADHYA PRADESH - Rajgarh,0.52,956,0.11,0.61
MADHYA PRADESH - Vidisha,0.59,896,0.15,0.63
MADHYA PRADESH - Bhopal,0.7,918,0.13,0.59
MADHYA PRADESH - Sehore,0.6,918,0.14,0.62
MADHYA PRADESH - Raisen,0.62,901,0.16,0.63
MADHYA PRADESH - Betul,0.6,971,0.15,0.6
MADHYA PRADESH - Harda,0.62,935,0.15,0.61
MADHYA PRADESH - Hoshangabad,0.65,914,0.15,0.59
MADHYA PRADESH - Katni,0.61,952,0.16,0.6
MADHYA PRADESH - Jabalpur,0.71,929,0.14,0.56
MADHYA PRADESH - Narsimhapur,0.66,920,0.16,0.57
MADHYA PRADESH - Dindori,0.54,1002,0.16,0.6
MADHYA PRADESH - Mandla,0.57,1008,0.16,0.58
MADHYA PRADESH - Chhindwara,0.62,964,0.16,0.59
MADHYA PRADESH - Seoni,0.63,982,0.17,0.59
MADHYA PRADESH - Balaghat,0.67,1021,0.18,0.57
MADHYA PRADESH - Guna,0.53,912,0.13,0.64
MADHYA PRADESH - Ashoknagar,0.56,904,0.14,0.63
MADHYA PRADESH - Shahdol,0.57,974,0.14,0.61
